iter	Passed	Remaining
400	18636	27838
401	18679	27787
402	18728	27743
403	18776	27699
404	18821	27651
405	18870	27609
406	18914	27557
407	18961	27512
408	19008	27467
409	19056	27422
410	19102	27376
411	19147	27327
412	19196	27283
413	19244	27239
414	19295	27200
415	19342	27154
416	19387	27105
417	19435	27061
418	19482	27015
419	19527	26966
420	19573	26918
421	19616	26868
422	19665	26825
423	19708	26773
424	19755	26728
425	19799	26678
426	19844	26630
427	19887	26579
428	19937	26536
429	19984	26490
430	20025	26437
431	20073	26392
432	20120	26346
433	20165	26298
434	20213	26254
435	20259	26206
436	20306	26162
437	20349	26110
438	20394	26062
439	20440	26015
440	20490	25972
441	20537	25926
442	20581	25878
443	20651	25860
444	20703	25820
445	20747	25771
446	20793	25723
447	20837	25675
448	20891	25637
449	20940	25593
450	20988	25549
451	21032	25500
452	21077	25450
453	21121	25401
454	21164	25350
455	21214	25309
456	21262	25263
457	21308	25216
458	21351	25166
459	21397	25118
460	21441	25068
461	21486	25021
462	21530	24971
463	21573	24920
464	21622	24877
465	21670	24832
466	21714	24783
467	21761	24737
468	21814	24697
469	21859	24649
470	21904	24601
471	21947	24551
472	21990	24501
473	22039	24457
474	22084	24409
475	22129	24360
476	22174	24313
477	22226	24272
478	22272	24224
479	22318	24178
480	22363	24129
481	22412	24086
482	22458	24039
483	22506	23994
484	22552	23947
485	22596	23898
486	22643	23852
487	22691	23807
488	22734	23757
489	22784	23714
490	22827	23664
491	22873	23617
492	22917	23568
493	22966	23524
494	23015	23480
495	23061	23433
496	23109	23388
497	23156	23342
498	23203	23296
499	23247	23247
500	23293	23200
501	23340	23154
502	23387	23108
503	23435	23063
504	23481	23016
505	23528	22970
506	23577	22925
507	23620	22876
508	23674	22836
509	23719	22789
510	23767	22744
511	23812	22696
512	23856	22647
513	23902	22600
514	23956	22560
515	24001	22513
516	24049	22467
517	24095	22421
518	24147	22379
519	24197	22336
520	24250	22295
521	24302	22254
522	24352	22210
523	24400	22165
524	24447	22119
525	24495	22073
526	24541	22026
527	24584	21977
528	24634	21933
529	24682	21888
530	24730	21843
531	24770	21790
532	24817	21743
533	24865	21699
534	24912	21653
535	24959	21607
536	25009	21563
537	25053	21514
538	25101	21468
539	25146	21420
540	25192	21374
541	25235	21324
542	25284	21279
543	25330	21232
544	25375	21185
545	25418	21135
546	25465	21089
547	25510	21041
548	25553	20992
549	25601	20947
550	25648	20900
551	25695	20854
552	25743	20808
553	25784	20758
554	25833	20712
555	25879	20666
556	25926	20620
557	25968	20570
558	26015	20523
559	26061	20477
560	26105	20428
561	26150	20380
562	26198	20335
563	26238	20283
564	26282	20234
565	26330	20189
566	26374	20141
567	26421	20095
568	26472	20051
569	26523	20008
570	26566	19959
571	26613	19913
572	26661	19868
573	26713	19826
574	26763	19781
575	26809	19735
576	26857	19689
577	26901	19640
578	26946	19593
579	26991	19545
580	27035	19497
581	27081	19450
582	27134	19408
583	27178	19360
584	27223	19312
585	27274	19269
586	27317	19220
587	27365	19174
588	27409	19126
589	27456	19079
590	27502	19033
591	27550	18987
592	27594	18939
593	27639	18891
594	27690	18847
595	27739	18803
596	27788	18758
597	27835	18712
598	27883	18666
599	27928	18618
600	27974	18571
601	28024	18527
602	28072	18482
603	28113	18432
604	28158	18384
605	28206	18339
606	28253	18292
607	28300	18246
608	28351	18202
609	28397	18155
610	28444	18109
611	28489	18062
612	28536	18015
613	28581	17968
614	28628	17921
615	28676	17876
616	28721	17828
617	28765	17780
618	28814	17735
619	28861	17689
620	28909	17643
621	28955	17596
622	29002	17550
623	29046	17502
624	29090	17454
625	29138	17408
626	29180	17359
627	29227	17312
628	29278	17269
629	29328	17224
630	29377	17179
631	29423	17132
632	29470	17086
633	29520	17041
634	29565	16994
635	29608	16945
636	29657	16900
637	29705	16854
638	29753	16809
639	29797	16760
640	29841	16713
641	29888	16666
642	29935	16620
643	29980	16573
644	30025	16525
645	30074	16480
646	30123	16435
647	30169	16388
648	30217	16342
649	30260	16294
650	30311	16250
651	30357	16203
652	30406	16157
653	30457	16113
654	30504	16067
655	30551	16021
656	30599	15975
657	30648	15929
658	30696	15883
659	30741	15836
660	30784	15788
661	30831	15741
662	30874	15693
663	30923	15648
664	30970	15601
665	31016	15554
666	31058	15506
667	31102	15458
668	31146	15410
669	31194	15364
670	31246	15320
671	31297	15276
672	31344	15229
673	31393	15184
674	31440	15137
675	31488	15092
676	31534	15045
677	31580	14998
678	31628	14952
679	31673	14905
680	31718	14857
681	31765	14811
682	31811	14764
683	31856	14717
684	31906	14672
685	31950	14624
686	31996	14577
687	32042	14530
688	32086	14483
689	32134	14437
690	32182	14391
691	32228	14344
692	32275	14298
693	32324	14252
694	32372	14206
695	32422	14161
696	32470	14115
697	32519	14070
698	32566	14023
699	32612	13976
700	32660	13930
701	32708	13884
702	32754	13838
703	32803	13792
704	32850	13745
705	32894	13698
706	32944	13653
707	32985	13604
708	33031	13557
709	33078	13510
710	33122	13463
711	33169	13416
712	33216	13370
713	33263	13323
714	33309	13277
715	33357	13231
716	33403	13184
717	33454	13139
718	33501	13093
719	33546	13045
720	33590	12998
721	33638	12952
722	33685	12905
723	33732	12859
724	33775	12811
725	33820	12764
726	33866	12717
727	33912	12670
728	33958	12623
729	34002	12576
730	34047	12529
731	34094	12482
732	34140	12435
733	34185	12388
734	34227	12340
735	34271	12292
736	34313	12244
737	34357	12197
738	34402	12150
739	34451	12104
740	34498	12058
741	34547	12012
742	34596	11966
743	34645	11920
744	34691	11874
745	34737	11827
746	34780	11779
747	34827	11733
748	34873	11686
749	34924	11641
750	34971	11595
751	35020	11549
752	35065	11502
753	35111	11455
754	35159	11409
755	35206	11362
756	35254	11316
757	35302	11270
758	35352	11225
759	35401	11179
760	35450	11133
761	35498	11087
762	35547	11041
763	35590	10994
764	35636	10947
765	35684	10901
766	35735	10855
767	35785	10810
768	35833	10763
769	35881	10717
770	35925	10670
771	35972	10624
772	36024	10578
773	36072	10532
774	36118	10485
775	36165	10439
776	36205	10391
777	36254	10344
778	36303	10299
779	36351	10252
780	36400	10206
781	36449	10161
782	36493	10113
783	36543	10067
784	36588	10020
785	36635	9974
786	36679	9927
787	36725	9880
788	36771	9833
789	36819	9787
790	36864	9740
791	36909	9693
792	36955	9646
793	37000	9599
794	37048	9553
795	37094	9506
796	37140	9459
797	37185	9412
798	37234	9366
799	37281	9320
800	37327	9273
801	37376	9227
802	37424	9181
803	37471	9134
804	37518	9088
805	37564	9041
806	37615	8996
807	37660	8949
808	37705	8901
809	37756	8856
810	37802	8809
811	37851	8763
812	37898	8717
813	37942	8669
814	37989	8623
815	38035	8576
816	38088	8531
817	38137	8485
818	38184	8438
819	38233	8392
820	38285	8347
821	38332	8300
822	38385	8255
823	38435	8209
824	38482	8162
825	38528	8116
826	38572	8069
827	38618	8022
828	38660	7974
829	38703	7927
830	38752	7880
831	38796	7833
832	38843	7787
833	38886	7740
834	38929	7692
835	38976	7646
836	39025	7599
837	39069	7552
838	39117	7506
839	39164	7459
840	39211	7413
841	39259	7367
842	39309	7321
843	39359	7274
844	39405	7228
845	39454	7182
846	39499	7135
847	39547	7088
848	39598	7042
849	39644	6996
850	39694	6949
851	39742	6903
852	39787	6856
853	39832	6809
854	39879	6763
855	39926	6716
856	39975	6670
857	40020	6623
858	40072	6577
859	40120	6531
860	40167	6484
861	40211	6437
862	40255	6390
863	40302	6343
864	40348	6297
865	40397	6250
866	40443	6204
867	40490	6157
868	40539	6111
869	40583	6064
870	40628	6017
871	40674	5970
872	40719	5923
873	40766	5877
874	40814	5830
875	40862	5784
876	40908	5737
877	40952	5690
878	41004	5644
879	41049	5597
880	41094	5550
881	41137	5503
882	41179	5456
883	41224	5409
884	41269	5362
885	41315	5315
886	41364	5269
887	41411	5223
888	41458	5176
889	41504	5129
890	41553	5083
891	41605	5037
892	41649	4990
893	41692	4943
894	41742	4897
895	41789	4850
896	41834	4803
897	41881	4757
898	41930	4710
899	41977	4664
900	42023	4617
901	42070	4570
902	42115	4523
903	42160	4477
904	42209	4430
905	42257	4384
906	42306	4337
907	42350	4290
908	42399	4244
909	42443	4197
910	42491	4151
911	42538	4104
912	42580	4057
913	42629	4011
914	42675	3964
915	42722	3917
916	42770	3871
917	42816	3824
918	42865	3778
919	42910	3731
920	42958	3684
921	43004	3638
922	43051	3591
923	43100	3545
924	43145	3498
925	43195	3451
926	43238	3405
927	43285	3358
928	43339	3312
929	43388	3265
930	43436	3219
931	43482	3172
932	43528	3125
933	43574	3079
934	43622	3032
935	43670	2986
936	43716	2939
937	43765	2892
938	43815	2846
939	43861	2799
940	43905	2752
941	43953	2706
942	43996	2659
943	44045	2612
944	44092	2566
945	44137	2519
946	44184	2472
947	44232	2426
948	44277	2379
949	44321	2332
950	44370	2286
951	44420	2239
952	44468	2193
953	44518	2146
954	44562	2099
955	44605	2052
956	44650	2006
957	44698	1959
958	44745	1913
959	44795	1866
960	44838	1819
961	44884	1772
962	44928	1726
963	44973	1679
964	45016	1632
965	45062	1586
966	45110	1539
967	45162	1492
968	45213	1446
969	45260	1399
970	45307	1353
971	45351	1306
972	45394	1259
973	45439	1212
974	45489	1166
975	45533	1119
976	45585	1073
977	45633	1026
978	45680	979
979	45726	933
980	45776	886
981	45818	839
982	45866	793
983	45913	746
984	45958	699
985	46003	653
986	46049	606
987	46097	559
988	46142	513
989	46190	466
990	46241	419
991	46290	373
992	46340	326
993	46388	280
994	46437	233
995	46481	186
996	46529	140
997	46579	93
998	46623	46
999	46676	0
