iter	RMSE
230	269.5198828
231	269.5028033
232	269.3879353
233	269.3113199
234	269.1778519
235	268.9685983
236	268.9647935
237	268.9258261
238	268.8398724
239	268.7638943
240	268.6262442
241	268.5741441
242	268.569135
243	268.5408588
244	268.5385066
245	268.4827564
246	268.4066523
247	268.3251239
248	268.2753302
249	268.2387703
250	268.2320009
251	268.0550917
252	268.0229365
253	268.0150647
254	267.9070181
255	267.9031485
256	267.8700162
257	267.816673
258	267.7259171
259	267.6938994
260	267.689175
261	267.4943383
262	267.4626775
263	267.3593882
264	267.2251163
265	266.927106
266	266.8468576
267	266.8178522
268	266.7057827
269	266.7017868
270	266.6083495
271	266.6041263
272	266.553546
273	266.4831712
274	266.4608539
275	266.4061991
276	266.3512011
277	266.3473323
278	266.2948084
279	266.2714983
280	266.2295203
281	266.153771
282	266.0992389
283	266.0272836
284	266.0244447
285	265.8773686
286	265.8745239
287	265.6218553
288	265.4873617
289	265.4809276
290	265.4675518
291	265.3998138
292	265.3247852
293	265.1875127
294	265.1648453
295	265.1315658
296	265.0729901
297	265.0190472
298	265.0067138
299	264.9517831
300	264.9008586
301	264.8615054
302	264.6234334
303	264.5354564
304	264.5095599
305	264.3638115
306	264.2333289
307	264.2209413
308	264.1230824
309	263.9779328
310	263.9274189
311	263.8985025
312	263.8265092
313	263.7781684
314	263.6830013
315	263.6399752
316	263.5264758
317	263.4786552
318	263.4654296
319	263.4083486
320	263.3753603
321	263.3562553
322	263.2966519
323	263.2379451
324	263.202708
325	263.1549568
326	263.1262694
327	263.009292
328	263.0009417
329	262.8105826
330	262.8026407
331	262.7301243
332	262.6490027
333	262.6434948
334	262.5752315
335	262.5678589
336	262.5338438
337	262.3662452
338	262.3130105
339	262.3089885
340	262.2601908
341	262.1685537
342	262.0630791
343	261.8805009
344	261.7819938
345	261.7793785
346	261.7302052
347	261.64238
348	261.5710061
349	261.551824
350	261.4807315
351	261.4584152
352	261.4430892
353	261.4206934
354	261.4018527
355	261.2541448
356	261.2308695
357	261.1830487
358	261.0581981
359	260.9862995
360	260.9432846
361	260.8848973
362	260.8213498
363	260.752845
364	260.5922668
365	260.5326949
366	260.525735
367	260.4421534
368	260.3921637
369	260.2068176
370	260.0342744
371	260.0261613
372	259.9630438
373	259.9461675
374	259.88523
375	259.7517685
376	259.6955836
377	259.692729
378	259.5713833
379	259.5183553
380	259.4444273
381	259.4254799
382	259.3537994
383	259.3012555
384	259.2121777
385	259.1390957
386	259.0860139
387	259.0759329
388	259.0516761
389	258.9782153
390	258.7840503
391	258.7294764
392	258.6371285
393	258.6301093
394	258.5747963
395	258.4152936
396	258.4100827
397	258.3294721
398	258.3037788
399	258.2500152
400	258.2122341
401	258.2073803
402	258.1661063
403	258.0944565
404	258.0619507
405	258.0180033
406	257.9629924
407	257.9608242
408	257.9103799
409	257.9021251
410	257.8152516
411	257.7953446
412	257.7360134
413	257.6622698
414	257.6587832
415	257.6484647
416	257.630434
417	257.5535422
418	257.4975755
419	257.4534257
420	257.4030287
421	257.2950653
422	257.2465484
423	257.2422835
424	257.2391172
425	257.2199035
426	257.1606367
427	257.1554662
428	257.0869459
429	257.0063563
430	256.9717615
431	256.9430759
432	256.9138738
433	256.8349065
434	256.8308217
435	256.8059122
436	256.7807121
437	256.6904258
438	256.6628671
439	256.638927
440	256.5905609
441	256.4939706
442	256.4390659
443	256.2420495
444	256.1957682
445	256.1352251
446	256.1105855
447	256.0621138
448	256.0610329
449	256.022575
450	255.9850719
451	255.9484004
452	255.9243849
453	255.8974901
454	255.8788506
455	255.8575383
456	255.8522332
457	255.7970495
458	255.7611296
459	255.7080446
460	255.6665894
461	255.6164394
462	255.6071104
463	255.5984113
464	255.5735262
465	255.5062227
466	255.5007006
467	255.4363015
468	255.4090595
469	255.4071451
470	255.4024583
471	255.3886626
472	255.3758828
473	255.2963659
474	255.2761921
475	255.2745033
476	255.2343746
477	255.1862454
478	255.0916978
479	254.9933606
480	254.982392
481	254.9215746
482	254.8313719
483	254.7933596
484	254.6724801
485	254.6480789
486	254.6327126
487	254.4698128
488	254.4576366
489	254.3608759
490	254.3087819
491	254.2640784
492	254.2052412
493	254.1433089
494	254.0708464
495	254.0383174
496	254.0127554
497	253.9948042
498	253.7658397
499	253.7299351
500	253.7092728
501	253.6933176
502	253.6588051
503	253.6193973
504	253.5338291
505	253.52331
506	253.4827189
507	253.4107943
508	253.3951623
509	253.3568442
510	253.3450031
511	253.3194236
512	253.3035586
513	253.2359578
514	253.232623
515	253.1480379
516	253.107789
517	253.0579329
518	252.9536787
519	252.8982939
520	252.8872345
521	252.8847757
522	252.8265958
523	252.7871242
524	252.745095
525	252.6654243
526	252.5890607
527	252.5239309
528	252.4317923
529	252.427197
530	252.3695301
531	252.3225556
532	252.2849957
533	252.2443425
534	252.1505865
535	252.138565
536	252.0285481
537	252.0117632
538	251.948814
539	251.9212315
540	251.8809171
541	251.8018111
542	251.7643738
543	251.7302515
544	251.6940538
545	251.6170716
546	251.5934278
547	251.5446338
548	251.4822216
549	251.4368425
550	251.3090113
551	251.2397903
552	251.1834864
553	251.1702648
554	251.0726868
555	251.0676357
556	251.0304321
557	250.9680656
558	250.8924372
559	250.826538
560	250.7905106
561	250.7178892
562	250.6858059
563	250.6703661
564	250.6603968
565	250.5876105
566	250.5268006
567	250.4357458
568	250.3510018
569	250.3486199
570	250.317851
571	250.2638461
572	250.2121145
573	250.1680395
574	250.0869392
575	250.0844172
576	250.009902
577	249.9948203
578	249.9316381
579	249.9068777
580	249.9012099
581	249.8274501
582	249.7943269
583	249.723103
584	249.6874713
585	249.6843654
586	249.6362236
587	249.5384657
588	249.4126623
589	249.3791666
590	249.3517341
591	249.2022834
592	249.1468173
593	249.0995705
594	249.0401983
595	249.0308353
596	248.9479428
597	248.9257579
598	248.9074442
599	248.8785563
600	248.7853308
601	248.7813421
602	248.7212276
603	248.7088434
604	248.6607517
605	248.6574136
606	248.653452
607	248.6383091
608	248.5686589
609	248.5395356
610	248.5381074
611	248.4558187
612	248.423794
613	248.3786706
614	248.377069
615	248.2980907
616	248.2708975
617	248.2221024
618	248.1702677
619	248.1386253
620	248.1365438
621	248.1125845
622	247.9717823
623	247.9456216
624	247.9091458
625	247.862558
626	247.834461
627	247.8249014
628	247.7856923
629	247.7626916
630	247.7320758
631	247.7222883
632	247.6322311
633	247.5351566
634	247.5163839
635	247.5122185
636	247.4558807
637	247.3557318
638	247.3535302
639	247.3227488
640	247.296952
641	247.2576494
642	247.154431
643	246.984115
644	246.9722111
645	246.9485412
646	246.9472499
647	246.9430439
648	246.8126625
649	246.8016855
650	246.7988044
651	246.7630329
652	246.7124078
653	246.6164632
654	246.5961259
655	246.5193957
656	246.4717463
657	246.4513087
658	246.4460522
659	246.4343588
660	246.3955637
661	246.3608766
662	246.3275719
663	246.2489612
664	246.1364974
665	246.0835825
666	246.0575573
667	245.9508956
668	245.926426
669	245.8532401
670	245.7963578
671	245.7680835
672	245.728372
673	245.726625
674	245.6569862
675	245.6135762
676	245.5728146
677	245.5290293
678	245.5229937
679	245.5137345
680	245.4936961
681	245.4668339
682	245.4199954
683	245.3422868
684	245.2785239
685	245.2272702
686	245.1590575
687	245.1387642
688	245.1178296
689	245.1058702
690	245.0298395
691	244.9412743
692	244.8374933
693	244.7993269
694	244.7718771
695	244.7342322
696	244.6651514
697	244.6557833
698	244.6401917
699	244.5997034
700	244.5377443
701	244.5154349
702	244.4617508
703	244.3998602
704	244.3948397
705	244.2967535
706	244.2682243
707	244.2636672
708	244.1843257
709	244.1448226
710	244.0958319
711	244.0476236
712	244.0436461
713	244.0089306
714	243.9577444
715	243.8932913
716	243.8466726
717	243.8451845
718	243.8204908
719	243.8187789
720	243.7873596
721	243.7263013
722	243.7007124
723	243.6798306
724	243.6492852
725	243.6080993
726	243.5915843
727	243.5689047
728	243.5250541
729	243.491463
730	243.4678382
731	243.4250442
732	243.292309
733	243.2534117
734	243.2161421
735	243.1826143
736	243.1471402
737	243.1278466
738	243.0932192
739	243.0589739
740	243.0197448
741	243.0183378
742	243.016752
743	242.9656875
744	242.8942846
745	242.8602283
746	242.8413693
747	242.7871409
748	242.7572787
749	242.6828578
750	242.6773672
751	242.6108802
752	242.6073814
753	242.5906117
754	242.5685648
755	242.5320508
756	242.5005156
757	242.4852795
758	242.4415276
759	242.4403814
760	242.4072193
761	242.3739244
762	242.3332107
763	242.2897613
764	242.2678825
765	242.2394301
766	242.2376394
767	242.2130562
768	242.1585212
769	242.0922614
770	242.0762281
771	242.0743211
772	241.9840749
773	241.9277458
774	241.8974784
775	241.8496186
776	241.828479
777	241.7891607
778	241.7450586
779	241.6797754
780	241.6398535
781	241.6389321
782	241.6183856
783	241.5882512
784	241.5503755
785	241.494442
786	241.4830595
787	241.3085546
788	241.2539728
789	241.2236546
790	241.2015679
791	241.1942221
792	241.1591144
793	241.1170829
794	241.0430019
795	240.9804013
796	240.9592302
797	240.9514567
798	240.9246746
799	240.8131042
800	240.7934644
801	240.7696292
802	240.7052018
803	240.6883871
804	240.6557082
805	240.6406999
806	240.5558176
807	240.5483108
808	240.5383188
809	240.5050544
810	240.489317
811	240.4427845
812	240.4397173
813	240.4142935
814	240.3698766
815	240.3631681
816	240.3447855
817	240.3140226
818	240.2929991
819	240.260223
820	240.2550893
821	240.2533274
822	240.2478329
823	240.2459065
824	240.2098429
825	240.2075924
826	240.1915237
827	240.1785629
828	240.1607811
829	240.1552426
830	240.1063967
831	240.0853558
832	240.0612288
833	240.046602
834	240.0109711
835	240.0058602
836	239.9736123
837	239.9509677
838	239.8858102
839	239.8676197
840	239.8224842
841	239.7865566
842	239.784034
843	239.7585399
844	239.7541088
845	239.7231162
846	239.7008971
847	239.6495572
848	239.6490066
849	239.6275289
850	239.6183548
851	239.5724684
852	239.5665631
853	239.521226
854	239.4506928
855	239.4381826
856	239.4146368
857	239.3997336
858	239.3842233
859	239.3392653
860	239.2800833
861	239.2680987
862	239.179126
863	239.1465544
864	239.1405846
865	239.0962946
866	239.0930063
867	239.0874167
868	239.0769194
869	239.0653373
870	239.0358526
871	239.0339007
872	239.0247943
873	238.9829865
874	238.9521189
875	238.9424807
876	238.9135947
877	238.8731916
878	238.8598575
879	238.8270544
880	238.8080977
881	238.7719633
882	238.7692271
883	238.7118305
884	238.7051694
885	238.5971181
886	238.5606906
887	238.5526537
888	238.5329532
889	238.4595589
890	238.4417284
891	238.4212532
892	238.4184992
893	238.3908908
894	238.3559423
895	238.3290363
896	238.2752674
897	238.2715539
898	238.1746883
899	238.0987105
900	238.0805418
901	238.0501113
902	238.0166214
903	237.9793912
904	237.9358123
905	237.9344762
906	237.8914614
907	237.8743492
908	237.7973698
909	237.7590312
910	237.7568397
911	237.6934109
912	237.6905056
913	237.6226018
914	237.5830686
915	237.5585493
916	237.5428478
917	237.5351623
918	237.5026963
919	237.4732401
920	237.4478266
921	237.4128452
922	237.3636833
923	237.3403855
924	237.3070026
925	237.1302766
926	237.1247061
927	237.1237355
928	237.0984012
929	237.0370123
930	237.0144276
931	237.0069263
932	236.9777076
933	236.9510719
934	236.9486508
935	236.9473795
936	236.9459943
937	236.9446614
938	236.905134
939	236.8741303
940	236.868868
941	236.8057418
942	236.7726236
943	236.7099261
944	236.6475148
945	236.5434284
946	236.4877087
947	236.4166634
948	236.3653185
949	236.3058047
950	236.2558722
951	236.200813
952	236.1559095
953	236.0909385
954	236.0440248
955	235.9557591
956	235.9432445
957	235.9416646
958	235.9346209
959	235.8950735
960	235.8825025
961	235.8243762
962	235.7840756
963	235.747993
964	235.7155744
965	235.6770383
966	235.6411088
967	235.6343691
968	235.6253747
969	235.5961496
970	235.5413261
971	235.5000299
972	235.4912535
973	235.483812
974	235.4656679
975	235.4395263
976	235.3898871
977	235.3523865
978	235.3118054
979	235.2906935
980	235.2125166
981	235.2105219
982	235.1824656
983	235.0301326
984	234.9952776
985	234.9347175
986	234.9028884
987	234.8532286
988	234.832895
989	234.8214368
990	234.8206896
991	234.7918746
992	234.7876962
993	234.7773685
994	234.7282586
995	234.7249847
996	234.7237666
997	234.6632838
998	234.6568202
999	234.6200203
